"ImporterFile","ImportPath","Exists","ResolvedPath"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\CartPage.jsx","react-router-dom","True","[alias-or-package] react-router-dom"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\CartPage.jsx","../../store/cartStore","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\store\cartStore.js"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\CartPage.jsx","../../utils/formatCurrency","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\utils\formatCurrency.js"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","react-router-dom","True","[alias-or-package] react-router-dom"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","../../components/home/HeroBanner","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\home\HeroBanner.jsx"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","../../components/home/PromoStrip","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\home\PromoStrip.jsx"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","../../components/home/CategoryGrid","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\home\CategoryGrid.jsx"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","../../components/home/AdSlots","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\home\AdSlots.jsx"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\HomePage.jsx","../../components/products/ProductGrid.jsx","False","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\products\ProductGrid.jsx"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\OffersPage.jsx","react","True","[alias-or-package] react"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\OffersPage.jsx","../../components/products/ProductCard","False","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\products\ProductCard"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\OffersPage.jsx","../../services/productService","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\services\productService.js"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\apps\customer\OffersPage.jsx","../../utils/debounce","True","D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\utils\debounce.js"
"D:\iPharmEGY_RUNTIME\AlNourOffers\alnour-offers-web\src\components\account\AccountSidebar.jsx","react-router-dom","True","[alias-or-package] react-router-dom"
